run_id,label,seg,proj,N,lb_p,rho_with_cos_step
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/astropy__astropy-14182,1,reason_sent,norm,200,0.28941697670259037,1.0
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-12304,0,reason_sent,cos_step,200,0.098639174578264,
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-12304,0,reason_sent,cos_task,200,0.2604938015734291,0.277998507939547
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-12304,0,reason_sent,pca1,200,0.5223151188449843,-0.28084320687398473
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-12304,0,reason_sent,norm,200,0.1331602385475607,1.0
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-13158,0,reason_sent,cos_step,200,0.025155881711081903,
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-13158,0,reason_sent,cos_task,200,6.473854254394407e-05,0.2580464638279492
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-13158,0,reason_sent,pca1,200,0.01568336615387721,-0.2830581226118571
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-13158,0,reason_sent,norm,200,0.0548048199630972,1.0
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-13195,1,reason_sent,cos_step,200,0.001911201239828049,
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-13195,1,reason_sent,cos_task,200,0.00030022046791343794,0.3286948611430165
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-13195,1,reason_sent,pca1,200,0.05302814010506439,-0.22745583273896286
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-13195,1,reason_sent,norm,200,0.002631448556651893,1.0
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-13343,0,reason_sent,cos_step,200,2.262548613167233e-05,
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-13343,0,reason_sent,cos_task,200,1.977666855825758e-09,0.3396690725950327
